ticker,name,current_price,per,forward_per,pbr,eps,forward_eps,bps,dividend_yield,industry_per,target_price,opinion,high_52w,low_52w,recent_high,recent_low,ma_200,trend,momentum_12m,drop_52w,volatility_60d,smart_guide,momentum_diag,risk_grade,updated_at
030000,제일기획,19340.0,10.72,9.122188,1.25,1804.0,,15525.0,,,24481.818,적극매수,23300.0,17760.0,19370.0,18490.0,20264.0,▼ 하락추세,-0.0354,-0.17,0.3251,▼ 하락관망,━ 방향탐색,━ 정상비중,2026-08-30 09:01:30
030200,KT,54500.0,7.93,8.491758,0.74,6869.0,,73231.0,,,73220.91,매수,69400.0,48100.0,54600.0,51300.0,55716.0,▼ 하락추세,-0.0145,-0.2147,0.3664,▼ 하락관망,━ 방향탐색,▼ 비중조절,2026-08-30 09:01:30
031980,피에스케이홀딩스,120100.0,28.25,,5.11,4252.0,,23484.0,,,,,173000.0,32800.0,129600.0,88800.0,93433.0,━ 박스권세,2.522,-0.3058,1.5363,▲ 분할매수,▲ 주도대장,▼ 소액접근,2026-08-30 09:01:30
032640,LG유플러스,15020.0,12.43,7.714272,0.72,1208.0,,20826.0,,,18834.783,매수,18800.0,13600.0,15730.0,14420.0,15441.0,▼ 하락추세,0.0511,-0.2011,0.3843,▼ 하락관망,▲ 시장동행,▼ 비중조절,2026-08-30 09:01:30
032820,우리기술,12510.0,2502.0,,16.57,5.0,,755.0,,,,,30200.0,3540.0,13890.0,8200.0,12584.0,▼ 하락추세,2.3674,-0.5858,1.2317,▼ 바닥확인,▲ 주도대장,▼ 소액접근,2026-08-30 09:01:30
032830,삼성생명,310000.0,26.92,11.45687,0.89,11514.0,,349293.0,,,393527.78,매수,516500.0,139200.0,329000.0,268500.0,253247.0,━ 박스권세,1.49,-0.3998,0.9649,▲ 분할매수,▲ 주도대장,▼ 소액접근,2026-08-30 09:01:30
033100,제룡전기,48300.0,,,,,,,,,,,93800.0,31850.0,51500.0,38850.0,47966.0,▲ 수급유입,0.2545,-0.4851,0.8974,▲ 분할매수,▲ 실적지속,▼ 소액접근,2026-08-30 09:01:30
033780,KT&G,176300.0,19.65,12.729377,1.97,8973.0,,89409.0,,,227588.23,적극매수,192400.0,129700.0,189000.0,169500.0,163550.0,━ 박스권세,0.3386,-0.0837,0.3459,━ 눌림지지,▲ 실적지속,━ 정상비중,2026-08-30 09:01:30
034020,두산에너빌리티,88200.0,668.18,83.95559,7.26,132.0,,12156.0,,,127428.7,적극매수,139200.0,57000.0,89100.0,63600.0,91030.0,▼ 하락추세,0.389,-0.3664,0.7766,▼ 바닥확인,▲ 실적지속,▼ 소액접근,2026-08-30 09:01:30
034730,SK,543000.0,24.84,3.8705697,1.19,21863.0,,457231.0,,,829545.44,매수,883000.0,187400.0,620000.0,493000.0,429570.0,━ 박스권세,1.6749,-0.3851,1.0227,▲ 분할매수,▲ 주도대장,▼ 소액접근,2026-08-30 09:01:30
035250,강원랜드,14790.0,9.95,10.007585,0.75,1487.0,,19841.0,,,19246.666,매수,19590.0,13920.0,14870.0,14150.0,16671.0,▼ 하락추세,-0.2309,-0.245,0.2449,▼ 하락관망,▼ 자금이탈,━ 정상비중,2026-08-30 09:01:30
035420,NAVER,220500.0,17.82,14.946246,1.2,12376.0,,184396.0,,,303074.06,매수,304000.0,181100.0,235000.0,199600.0,228930.0,▼ 하락추세,-0.0637,-0.2747,0.7337,▼ 하락관망,━ 방향탐색,▼ 소액접근,2026-08-30 09:01:30
036190,금화피에스시,34850.0,6.83,,0.53,5099.0,,65215.0,,,,,42500.0,28350.0,37900.0,30900.0,33317.0,▲ 수급유입,0.0561,-0.18,0.3153,▲ 상승유지,▲ 시장동행,━ 정상비중,2026-08-30 09:01:30
036460,한국가스공사,37100.0,25.75,3.703963,0.3,1441.0,,123774.0,,,44900.0,매수,45700.0,31150.0,37350.0,33300.0,37656.0,▼ 하락추세,-0.1682,-0.1882,0.2941,▼ 하락관망,▼ 자금이탈,━ 정상비중,2026-08-30 09:01:30
036540,SFA반도체,5610.0,-47.93,,1.95,-116.0,,2884.0,,,,,11640.0,3240.0,6480.0,4275.0,6193.0,▼ 하락추세,0.7368,-0.518,1.0892,▼ 바닥확인,▲ 주도대장,▼ 소액접근,2026-08-30 09:01:30
036830,솔브레인홀딩스,43750.0,1.88,,0.51,23248.0,,86410.0,,,,,80800.0,25750.0,44850.0,28350.0,45632.0,▼ 하락추세,0.0127,-0.4585,0.9068,▼ 바닥확인,━ 방향탐색,▼ 소액접근,2026-08-30 09:01:30
036930,주성엔지니어링,176800.0,234.17,,13.68,755.0,,12922.0,,,,,283000.0,26200.0,196200.0,113900.0,100952.0,━ 박스권세,4.9429,-0.3753,1.5689,▲ 분할매수,▲ 주도대장,▼ 소액접근,2026-08-30 09:01:30
039030,이오테크닉스,398500.0,85.81,,7.14,4644.0,,55838.0,,,,,623000.0,188700.0,449000.0,263500.0,379498.0,▲ 수급유입,0.8535,-0.3604,1.2538,▲ 분할매수,▲ 주도대장,▼ 소액접근,2026-08-30 09:01:30
039490,키움증권,278500.0,6.88,4.9634624,1.1,40504.0,,254008.0,,,478400.0,none,517000.0,198700.0,313000.0,259000.0,358400.0,▼ 하락추세,0.323,-0.4613,0.7985,▼ 바닥확인,▲ 실적지속,▼ 소액접근,2026-08-30 09:01:30
042660,한화오션,88500.0,21.77,13.812926,4.39,4066.0,,20138.0,,,135571.42,매수,154800.0,71300.0,99400.0,79200.0,117386.0,▼ 하락추세,-0.0932,-0.4283,0.9419,▼ 바닥확인,━ 방향탐색,▼ 소액접근,2026-08-30 09:01:30
042700,한미반도체,219500.0,98.3,40.873367,30.16,2233.0,,7278.0,,,272142.84,중립(Hold),426000.0,81400.0,242000.0,189300.0,230323.0,▼ 하락추세,1.5763,-0.4847,1.3207,▼ 바닥확인,▲ 주도대장,▼ 소액접근,2026-08-30 09:01:30
044490,태웅,33000.0,26.74,,1.09,1234.0,,30212.0,,,,,61300.0,19980.0,37550.0,24950.0,34332.0,▼ 하락추세,-0.1582,-0.4617,1.3452,▼ 바닥확인,▼ 자금이탈,▼ 소액접근,2026-08-30 09:01:30
047040,대우건설,19690.0,-7.26,16.94282,2.42,-2195.0,,8148.0,,,19930.77,none,40350.0,3320.0,21950.0,11880.0,14374.0,▲ 수급유입,4.168,-0.512,1.0556,▲ 분할매수,▲ 주도대장,▼ 소액접근,2026-08-30 09:01:30
047050,포스코인터내셔널,52700.0,15.1,9.721617,1.34,3491.0,,39358.0,,,88090.91,none,91200.0,44850.0,58200.0,49100.0,61578.0,▼ 하락추세,0.0076,-0.4221,0.6401,▼ 바닥확인,━ 방향탐색,▼ 소액접근,2026-08-30 09:01:30
051600,한전KPS,47050.0,17.04,12.578532,1.57,2761.0,,29906.0,,,61363.637,매수,69000.0,41500.0,50900.0,43100.0,53126.0,▼ 하락추세,-0.0934,-0.3181,0.8144,▼ 하락관망,━ 방향탐색,▼ 소액접근,2026-08-30 09:01:30
051910,LG화학,277000.0,-10.86,12.716799,0.66,-23242.0,,419617.0,,,406200.0,매수,437500.0,224000.0,282500.0,238000.0,330992.0,▼ 하락추세,-0.115,-0.3669,0.7004,▼ 바닥확인,▼ 자금이탈,▼ 소액접근,2026-08-30 09:01:30
052690,한전기술,122400.0,54.79,52.839363,7.45,2234.0,,16428.0,,,185181.81,매수,198000.0,77100.0,135400.0,83100.0,126948.0,▼ 하락추세,0.3615,-0.3818,1.1078,▼ 바닥확인,▲ 실적지속,▼ 소액접근,2026-08-30 09:01:30
053690,한미글로벌,23000.0,13.59,7.585752,1.07,1692.0,,21462.0,,,32500.0,none,34750.0,13740.0,23950.0,14930.0,20506.0,▲ 수급유입,0.1948,-0.3381,1.0643,▲ 분할매수,▲ 시장동행,▼ 소액접근,2026-08-30 09:01:30
058470,리노공업,66800.0,,,,,,,,,,,129000.0,45000.0,72500.0,59900.0,85268.0,▼ 하락추세,0.4108,-0.4822,0.8627,▼ 바닥확인,▲ 실적지속,▼ 소액접근,2026-08-30 09:01:30
